col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Rainy Papademetriou,Abbe Fletman,Kai Scott,Stella Tsai,Chris Mallios,Mia Roberts Perez,Anthony Kyriakakis,Jennifer Schultz,Tracy B Roman,Betsy Wahl,Stephanie M Sawyer,Ken Powell,Brian T Ortelere,Daine Grey Jr,Marissa Brumbach,Scott Diclaudio,Deborah Watson Stokes,James F Berardinelli,Lynne M Summers,Lucretia Clemons,Vincent N Melchiorre,Jodi Lobel,Vince Giusini,Chris Mccabe,Leon Goodman,Lyris Younge,Thomas Martin,Rania Major,Leon A King Ii,Frances Fattah,Michael Fanning,Joshua Hill,Vincent Furlong,Wayne M D Bennett,Jon Marshall,William J Ciancaglini,Edward William Louden Jr,Shanese Johnson,Sandjai Weaver,Sherman Toppin,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,All
Jim Kenney,826,0,0,0,0,0,"1,219","1,104",956,826,915,786,746,621,558,580,558,521,531,495,503,461,413,465,360,405,400,350,400,362,277,258,274,244,225,194,257,223,240,200,201,216,184,139,131,116,71,71,61,All
Lynne M Abraham,,137,0,0,0,0,133,130,87,131,82,105,95,112,92,97,81,49,69,58,89,62,95,59,95,64,38,84,55,44,45,40,45,49,33,41,29,32,32,26,20,30,23,30,16,14,12,11,18,All
Anthony Hardy Williams,,,137,0,0,0,86,79,84,69,43,96,49,66,103,52,74,84,57,70,41,87,76,29,75,54,50,48,29,37,75,70,41,46,43,73,24,34,29,33,45,15,47,41,21,27,14,15,18,All
Doug Oliver,,,,36,0,0,48,51,57,43,40,33,26,31,15,26,20,22,17,24,23,16,22,14,30,29,14,14,9,16,22,17,11,14,15,14,10,11,10,16,11,3,5,10,14,6,5,5,4,All
Nelson Diaz,,,,,30,0,43,40,39,45,28,47,29,34,28,29,22,18,14,28,16,12,26,17,17,22,9,12,12,19,15,9,9,13,15,10,7,15,8,13,6,2,8,11,11,11,6,3,2,All
T Milton Street Sr,,,,,,5,4,5,6,4,5,5,2,3,11,5,4,8,2,4,5,8,8,6,6,2,3,4,6,3,6,8,3,5,3,1,3,4,2,5,4,5,5,4,3,5,4,3,3,All
Rainy Papademetriou,,,,,,,1,809,713,699,661,609,576,386,281,405,368,344,506,372,276,223,256,325,211,310,276,239,176,280,165,149,235,157,169,141,123,170,130,113,99,71,112,82,76,58,34,33,32,All
Abbe Fletman,,,,,,,,0,939,650,840,599,471,372,218,418,416,351,443,388,265,158,254,253,147,321,265,240,149,274,150,136,175,113,153,88,139,129,83,128,67,45,66,59,52,50,27,22,22,All
Kai Scott,,,,,,,,,0,554,769,583,422,280,170,384,401,314,381,363,214,126,247,192,111,306,253,195,120,249,114,135,164,87,158,94,163,140,51,108,35,37,30,60,62,52,34,18,29,All
Stella Tsai,,,,,,,,,,0,544,648,474,414,261,482,407,232,325,276,299,121,322,206,252,295,138,291,128,189,115,89,86,172,143,157,78,130,75,112,51,52,53,93,102,48,45,26,35,All
Chris Mallios,,,,,,,,,,,0,489,432,220,121,335,336,292,305,284,173,124,215,212,62,176,181,168,120,187,92,69,86,45,142,73,148,100,37,86,27,40,33,31,24,30,12,22,19,All
Mia Roberts Perez,,,,,,,,,,,,1,399,377,278,429,471,289,279,353,277,152,306,175,264,284,182,247,114,164,109,146,93,188,143,161,136,143,66,99,50,59,45,116,88,63,52,33,44,All
Anthony Kyriakakis,,,,,,,,,,,,,1,249,174,287,262,253,286,224,176,166,197,241,137,149,125,168,154,152,121,65,77,92,141,76,87,111,92,100,59,82,65,48,62,50,17,29,28,All
Jennifer Schultz,,,,,,,,,,,,,,1,341,371,297,183,181,209,270,178,287,173,314,222,77,240,104,96,190,131,85,202,106,117,68,97,134,105,111,62,115,103,83,60,49,34,42,All
Tracy B Roman,,,,,,,,,,,,,,,3,211,246,248,133,221,225,320,243,180,261,156,108,145,132,59,180,241,85,178,93,111,113,79,125,85,155,70,149,108,79,67,44,31,32,All
Betsy Wahl,,,,,,,,,,,,,,,,1,298,147,171,164,283,93,296,102,198,237,115,238,89,128,71,70,59,140,102,86,74,85,57,67,32,38,29,86,66,28,41,17,36,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,0,215,171,310,267,113,326,146,232,184,138,178,99,116,92,127,58,152,77,121,106,66,57,84,44,51,38,98,63,40,63,31,57,All
Ken Powell,,,,,,,,,,,,,,,,,,0,248,289,94,266,93,224,84,87,146,72,110,93,180,185,99,56,112,63,143,73,100,80,156,56,144,45,41,60,12,27,21,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,1,231,82,160,95,226,81,201,193,114,97,241,102,64,177,55,96,79,67,77,76,74,72,52,74,24,33,35,17,27,8,All
