col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Bobby Henon,Tracy B Roman,Ken Powell,Scott Diclaudio,Kai Scott,Jennifer Schultz,Mia Roberts Perez,Stephanie M Sawyer,Abbe Fletman,Daine Grey Jr,Michael Fanning,Edward William Louden Jr,Lynne M Summers,Chris Mallios,Lyris Younge,Deborah Watson Stokes,Stella Tsai,Vincent Furlong,Vincent N Melchiorre,Leon Goodman,Sherman Toppin,Betsy Wahl,Marissa Brumbach,Thomas Martin,Franklin A Bennett Iii,Jodi Lobel,Jon Marshall,Leon A King Ii,Rania Major,Shanese Johnson,William J Ciancaglini,Frances Fattah,Rainy Papademetriou,Starr Marshall Cash,Tangie M Boston,Wayne M D Bennett,Chris Mccabe,Lucretia Clemons,Sandjai Weaver,Vince Giusini,Anthony Kyriakakis,Brian T Ortelere,James F Berardinelli,Joshua Hill,1
Bobby Henon,8,19,15,15,13,11,11,11,10,11,10,8,8,8,7,7,7,6,7,6,7,5,5,4,4,5,5,3,4,5,5,3,2,3,3,4,2,3,2,2,2,2,1,1,1
Tracy B Roman,,0,8,11,8,8,7,7,6,6,5,8,4,5,7,5,7,6,4,4,2,3,4,2,4,4,4,1,3,4,5,2,3,2,1,2,1,3,1,1,2,2,2,0,1
Ken Powell,,,2,8,8,2,7,5,9,6,8,6,2,7,6,1,3,1,7,4,1,1,0,0,2,1,3,1,0,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,1
Scott Diclaudio,,,,0,6,4,5,5,5,2,6,5,4,5,5,2,4,3,4,4,3,3,2,1,3,3,3,2,0,1,3,2,1,1,2,3,0,1,1,0,2,1,2,0,1
Kai Scott,,,,,0,5,11,10,9,9,9,2,5,9,5,6,5,2,8,3,2,2,4,4,3,2,1,1,4,2,2,1,1,3,2,2,2,2,2,2,1,1,0,0,1
Jennifer Schultz,,,,,,2,4,6,3,4,2,4,6,0,2,5,5,6,0,4,3,5,5,1,1,3,4,2,5,3,2,2,1,2,3,3,0,2,1,1,1,1,0,0,1
Mia Roberts Perez,,,,,,,0,9,9,9,9,2,2,8,5,4,3,2,8,0,2,2,1,2,3,3,0,0,3,1,1,1,0,2,3,1,1,1,2,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,0,7,7,7,3,4,7,5,5,3,4,5,0,2,5,3,2,0,3,2,0,3,2,1,2,0,2,4,3,1,2,2,0,0,1,0,0,1
Abbe Fletman,,,,,,,,,0,7,8,3,3,7,6,1,4,2,8,2,1,3,1,1,2,1,1,0,1,1,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1
Daine Grey Jr,,,,,,,,,,0,7,3,2,6,5,4,1,2,6,2,3,0,1,3,1,2,1,1,3,2,2,1,2,2,1,1,2,1,1,2,0,1,0,0,1
Michael Fanning,,,,,,,,,,,1,2,1,8,5,1,3,1,8,1,2,1,0,2,2,2,2,1,0,0,0,1,0,2,2,1,1,0,1,0,0,0,0,0,1
Edward William Louden Jr,,,,,,,,,,,,0,3,2,5,3,2,4,1,3,2,1,1,0,2,2,3,1,1,1,3,0,2,1,1,1,0,1,1,0,1,2,2,0,1
Lynne M Summers,,,,,,,,,,,,,0,1,1,4,3,4,0,4,4,4,4,2,2,0,1,1,3,2,3,2,1,1,2,3,1,0,1,2,1,1,0,0,1
Chris Mallios,,,,,,,,,,,,,,0,5,2,2,0,7,0,1,0,0,2,2,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
Lyris Younge,,,,,,,,,,,,,,,0,1,2,3,4,2,1,1,1,1,1,0,2,0,0,1,0,0,2,1,1,0,1,0,0,0,0,1,1,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,0,2,2,0,1,4,2,2,1,2,2,1,1,5,1,3,0,0,2,1,2,1,3,2,1,1,1,1,0,1
Stella Tsai,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,2,2,1,2,1,2,3,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,0,0,2,2,4,4,1,2,1,3,0,2,1,1,3,3,1,2,2,1,1,0,1,0,1,1,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,0,2,1,3,2,1,1,3,2,1,1,1,1,2,2,0,1,1,0,0,2,1,1,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,0,2,1,1,2,1,1,1,2,0,2,1,0,1,1,2,1,1,1,1,1,0,1,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,1,2,0,2,1,0,2,0,0,3,2,0,1,1,0,0,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,0,2,1,0,0,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,2,2,2,2,2,0,0,3,0,1,2,1,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,2,1,1,0,2,2,0,1,0,1,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,0,2,1,1,0,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,0,0,1,1,0,1,1,0,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,1,2,1,1,0,1
