col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Jenne Ayers,William K Greenlee,Thomas Wyatt,Ed Neilson,Helen Gym,Frank Rizzo,Sherrie Cohen,Carla M Cain,Paul Steinke,Marnie Aument Loughrey,Wilson Alexander,Tracy B Roman,Ken Powell,Abbe Fletman,Jon Marshall,Frances Fattah,Mia Roberts Perez,Daine Grey Jr,Kai Scott,Lyris Younge,Sandjai Weaver,Edward William Louden Jr,Deborah Watson Stokes,Rainy Papademetriou,Rania Major,Scott Diclaudio,Stephanie M Sawyer,Michael Fanning,Shanese Johnson,Anthony Kyriakakis,Chris Mallios,Joshua Hill,Leon Goodman,Starr Marshall Cash,Brian T Ortelere,Leon A King Ii,Lucretia Clemons,Lynne M Summers,Thomas Martin,Vincent N Melchiorre,James F Berardinelli,Jennifer Schultz,Stella Tsai,Betsy Wahl,Jodi Lobel,Marissa Brumbach,Sherman Toppin,Vincent Furlong,Chris Mccabe,Tangie M Boston,Wayne M D Bennett,William J Ciancaglini,Vince Giusini,Franklin A Bennett Iii,1
Derek S Green,0,7,9,6,2,5,6,5,6,3,1,3,1,1,3,0,12,11,6,9,7,5,3,5,6,3,5,3,5,2,4,2,6,2,4,5,3,2,3,3,3,5,4,3,5,2,2,1,1,3,2,1,1,1,2,1,1,0,1,1
Blondell Reynolds Brown,,0,10,14,6,6,7,5,6,5,9,6,2,0,2,0,10,6,11,4,10,9,7,9,4,6,4,6,1,5,2,8,5,6,5,4,5,2,5,1,4,3,4,1,4,3,1,4,4,2,1,2,2,2,2,1,1,1,1,1
Isaiah Thomas,,,0,8,5,3,6,4,7,1,4,2,3,1,2,0,9,7,4,6,9,8,4,6,4,5,3,5,5,4,4,4,7,2,6,6,3,1,3,2,4,4,4,3,5,3,2,3,2,5,2,2,3,1,2,1,1,1,1,1
W Wilson Goode Jr,,,,0,3,3,4,3,2,2,8,2,2,0,0,0,5,2,6,3,4,6,5,5,4,4,4,5,1,4,3,5,2,2,4,1,5,2,4,1,3,2,4,1,1,3,1,3,1,2,0,2,2,2,3,1,1,0,1,1
Allan Domb,,,,,1,3,5,3,4,3,2,3,2,2,0,0,4,2,3,2,4,3,5,3,1,4,1,2,3,2,0,2,2,3,4,1,0,1,0,2,2,2,2,3,1,1,3,1,4,3,2,0,2,0,0,1,0,0,0,1
Jenne Ayers,,,,,,1,3,3,1,3,1,3,3,0,0,0,9,8,4,4,3,2,2,5,5,4,3,3,1,5,4,3,0,6,1,0,2,2,3,0,1,2,3,2,0,1,4,1,2,0,1,0,1,0,1,0,0,2,0,1
William K Greenlee,,,,,,,1,3,7,3,2,3,2,0,0,0,5,4,3,3,5,4,4,6,3,5,2,3,4,4,2,4,6,2,3,4,2,3,3,1,1,4,1,4,3,1,2,1,1,2,3,1,0,1,0,1,1,1,0,1
Thomas Wyatt,,,,,,,,0,1,4,3,4,2,3,2,1,5,3,5,4,5,3,5,6,3,5,3,3,3,6,4,3,2,3,3,1,5,2,1,2,3,3,5,3,0,4,3,2,2,2,1,1,1,1,1,1,2,1,0,1
