col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Brian T Ortelere,Abbe Fletman,Kai Scott,Rainy Papademetriou,Ken Powell,Chris Mallios,Tracy B Roman,Daine Grey Jr,Stella Tsai,Stephanie M Sawyer,Mia Roberts Perez,Scott Diclaudio,Lyris Younge,Betsy Wahl,Vincent N Melchiorre,Chris Mccabe,Jennifer Schultz,Deborah Watson Stokes,Leon Goodman,Anthony Kyriakakis,James F Berardinelli,Jodi Lobel,Lucretia Clemons,Michael Fanning,Lynne M Summers,Marissa Brumbach,Edward William Louden Jr,Vince Giusini,Leon A King Ii,Thomas Martin,Vincent Furlong,Jon Marshall,Rania Major,Shanese Johnson,Frances Fattah,Wayne M D Bennett,Franklin A Bennett Iii,Sherman Toppin,William J Ciancaglini,Joshua Hill,Sandjai Weaver,Starr Marshall Cash,Tangie M Boston,Joffie C Pittman,Christine Hope,Sharon Williams Losier,Matthew Perks,Daniel R Sulman,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,1
Brian T Ortelere,17,43,31,33,28,24,26,21,29,16,14,15,14,18,13,26,15,14,14,15,16,10,12,9,9,7,7,4,5,7,4,4,6,5,3,4,4,3,3,5,4,2,0,29,30,24,22,21,17,8,7,1
Abbe Fletman,,2,60,39,37,48,32,38,34,29,31,27,22,24,22,16,15,11,9,16,13,15,15,17,9,10,4,6,6,12,3,4,7,6,2,6,4,4,3,6,2,2,1,52,38,36,26,32,10,5,2,1
Kai Scott,,,0,33,27,46,22,30,27,29,35,21,25,22,19,16,16,14,12,19,12,15,14,18,7,10,5,7,6,8,5,4,4,4,8,7,3,3,2,4,2,2,2,48,31,30,25,33,12,4,3,1
Rainy Papademetriou,,,,3,21,21,15,18,28,14,16,14,14,14,13,14,10,10,11,17,14,11,14,4,9,5,6,4,6,9,5,4,1,6,4,3,1,3,4,4,3,1,2,29,27,20,17,18,11,3,2,1
Ken Powell,,,,,0,24,33,33,16,26,23,30,24,4,19,13,8,7,11,8,12,4,5,16,8,4,7,3,6,8,3,7,2,2,1,2,3,4,2,1,2,3,0,39,32,31,13,11,8,5,3,1
Chris Mallios,,,,,,2,16,22,20,22,26,18,12,15,17,9,6,10,7,16,12,11,7,18,2,4,0,3,6,4,2,0,0,0,3,6,0,2,1,4,1,0,0,40,18,17,20,25,6,3,1,1
Tracy B Roman,,,,,,,0,28,17,23,14,32,29,15,17,10,15,11,9,5,6,5,6,13,10,6,7,4,2,6,4,7,6,8,5,1,1,2,5,1,4,3,0,30,36,41,9,3,12,7,3,1
Daine Grey Jr,,,,,,,,1,14,21,19,27,25,11,20,4,8,7,14,8,13,7,4,17,6,3,8,5,5,6,5,6,4,4,2,4,4,5,1,3,2,1,0,30,30,30,9,14,7,4,4,1
Stella Tsai,,,,,,,,,0,18,20,7,7,20,5,13,15,14,8,15,13,16,14,3,9,9,5,4,5,3,4,2,7,8,4,4,3,0,1,4,4,2,1,25,24,20,13,17,11,3,2,1
Stephanie M Sawyer,,,,,,,,,,0,23,18,16,12,17,6,13,16,5,9,10,9,9,14,13,10,4,3,4,1,5,0,9,6,7,3,2,4,4,1,6,4,2,27,25,29,5,12,14,7,3,1
Mia Roberts Perez,,,,,,,,,,,1,14,17,12,14,7,12,9,5,13,6,10,7,13,8,7,3,6,3,2,2,0,5,2,5,2,1,0,1,0,1,2,2,29,21,20,9,16,6,1,2,1
Scott Diclaudio,,,,,,,,,,,,0,26,4,19,7,7,6,10,7,9,4,2,14,4,1,7,2,2,4,3,8,5,1,2,5,2,2,5,2,2,0,0,31,26,30,6,7,10,4,3,1
Lyris Younge,,,,,,,,,,,,,1,5,15,5,9,3,9,7,3,5,3,11,4,2,6,8,0,4,4,5,3,4,5,1,1,1,3,0,1,0,1,29,22,29,5,8,6,5,1,1
Betsy Wahl,,,,,,,,,,,,,,0,6,7,12,14,5,6,6,10,8,5,7,10,3,7,2,3,5,1,5,6,5,3,1,1,2,2,2,3,1,12,18,14,13,13,10,4,2,1
Vincent N Melchiorre,,,,,,,,,,,,,,,0,6,4,5,4,4,8,5,6,15,5,3,2,5,3,5,5,0,5,3,3,2,1,3,4,2,2,1,0,18,17,18,9,5,10,3,4,1
Chris Mccabe,,,,,,,,,,,,,,,,0,9,7,4,3,2,7,7,2,5,3,3,2,2,6,2,1,4,0,1,2,1,2,0,3,1,0,0,11,14,11,11,9,5,2,3,1
Jennifer Schultz,,,,,,,,,,,,,,,,,0,16,8,6,7,10,8,3,8,8,7,5,3,3,5,7,7,8,4,4,2,4,3,3,3,3,0,8,19,19,6,10,15,6,2,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,0,11,7,6,10,10,6,13,11,2,0,6,1,5,0,6,7,7,4,2,3,4,1,4,4,1,8,16,14,10,8,12,6,3,1
