col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ori C Feibush,Kenyatta Johnson,William J Ciancaglini,Vince Giusini,Marissa Brumbach,Tracy B Roman,Scott Diclaudio,Vincent N Melchiorre,Ken Powell,James F Berardinelli,Rainy Papademetriou,Thomas Martin,Michael Fanning,Abbe Fletman,Brian T Ortelere,Jon Marshall,Vincent Furlong,Betsy Wahl,Jennifer Schultz,Chris Mccabe,Mia Roberts Perez,Chris Mallios,Anthony Kyriakakis,Stella Tsai,Kai Scott,Daine Grey Jr,Jodi Lobel,Leon Goodman,Lyris Younge,Lynne M Summers,Rania Major,Stephanie M Sawyer,Deborah Watson Stokes,Lucretia Clemons,Wayne M D Bennett,Edward William Louden Jr,Frances Fattah,Leon A King Ii,Joshua Hill,Shanese Johnson,Franklin A Bennett Iii,Sherman Toppin,Tangie M Boston,Sandjai Weaver,Starr Marshall Cash,All
Ori C Feibush,36,0,119,120,109,124,102,86,95,45,60,61,48,26,31,30,20,20,15,12,13,14,11,8,11,7,8,11,9,11,11,9,6,7,7,8,5,5,4,4,4,3,3,0,1,All
Kenyatta Johnson,,10,47,44,23,13,26,31,14,25,6,6,10,10,8,5,11,9,10,12,8,9,9,10,6,9,6,6,5,4,4,6,6,2,3,2,3,3,4,2,2,1,0,2,0,All
William J Ciancaglini,,,15,88,73,63,64,68,32,46,14,15,27,14,17,21,20,17,10,14,12,13,14,10,10,5,9,11,9,8,5,5,7,6,3,7,6,2,0,4,2,2,1,1,0,All
Vince Giusini,,,,9,82,44,72,85,49,59,32,29,35,19,25,18,24,17,15,13,12,13,15,12,8,6,9,13,6,8,6,8,6,7,8,5,2,6,2,4,4,3,0,2,0,All
Marissa Brumbach,,,,,4,60,59,74,50,30,39,34,49,21,20,22,11,19,9,11,11,13,10,11,7,2,8,5,7,6,6,8,4,9,3,4,3,5,1,4,1,2,1,1,0,All
Tracy B Roman,,,,,,1,80,51,85,22,48,55,31,18,25,29,11,9,5,6,6,6,5,9,4,5,4,9,10,4,6,8,7,6,2,4,5,5,2,1,2,1,1,0,0,All
Scott Diclaudio,,,,,,,3,55,66,45,38,38,28,23,25,22,14,6,10,9,5,10,6,6,3,7,5,12,10,4,4,2,3,0,5,4,3,2,2,2,4,1,2,2,0,All
Vincent N Melchiorre,,,,,,,,1,52,38,40,36,49,20,20,15,19,14,6,11,8,13,13,7,9,3,8,7,5,5,3,2,3,5,5,3,5,2,2,4,2,0,1,1,0,All
