col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Christine Hope,Christian Dicicco,Matthew Perks,Sharon Williams Losier,Daniel R Sulman,Joffie C Pittman,Franklin A Bennett Iii,Gary S Silver,Michael Fanning,Vincent N Melchiorre,Scott Diclaudio,Tracy B Roman,Vincent Furlong,James F Berardinelli,Ken Powell,Jennifer Schultz,Chris Mccabe,Marissa Brumbach,Thomas Martin,Vince Giusini,Chris Mallios,Abbe Fletman,Anthony Kyriakakis,Lynne M Summers,Daine Grey Jr,Jon Marshall,Stephanie M Sawyer,Deborah Watson Stokes,Stella Tsai,Jodi Lobel,Betsy Wahl,Brian T Ortelere,Kai Scott,Lyris Younge,Wayne M D Bennett,Edward William Louden Jr,Leon Goodman,William J Ciancaglini,Mia Roberts Perez,Leon A King Ii,Rainy Papademetriou,Lucretia Clemons,Shanese Johnson,Franklin A Bennett Iii,Sherman Toppin,Joshua Hill,Sandjai Weaver,Starr Marshall Cash,Frances Fattah,Rania Major,Tangie M Boston,1
Christine Hope,3,24,11,19,5,8,3,7,56,55,23,27,17,18,15,19,10,13,14,12,9,13,11,14,11,10,11,11,8,8,9,9,8,6,9,5,7,7,8,4,8,5,3,2,5,3,4,3,2,3,1,1
Christian Dicicco,,1,9,11,7,3,5,2,18,14,15,16,12,12,8,15,8,12,11,12,3,3,5,12,7,6,9,9,10,8,3,5,4,5,9,5,4,9,4,5,4,2,4,5,3,2,2,3,1,3,1,1
Matthew Perks,,,1,4,11,5,6,4,11,12,12,11,11,10,8,9,7,5,5,6,8,8,7,8,8,9,8,5,7,5,6,9,5,4,4,6,4,4,4,4,3,3,4,4,1,2,1,2,2,0,0,1
Sharon Williams Losier,,,,1,1,4,1,1,9,7,12,13,7,3,10,9,4,6,7,6,1,5,4,8,8,6,7,5,6,5,4,1,5,6,3,4,5,3,4,3,4,4,1,1,2,1,2,1,0,3,1,1
Daniel R Sulman,,,,,0,6,2,3,7,5,6,4,7,7,4,5,6,3,5,4,7,5,6,2,2,6,4,3,5,5,4,5,5,4,4,4,3,1,4,3,2,4,2,3,2,0,1,0,0,0,0,1
Joffie C Pittman,,,,,,1,0,3,3,5,4,5,3,4,5,3,5,4,3,4,4,7,6,1,3,4,3,2,3,2,3,1,7,4,3,2,3,2,5,3,1,3,1,1,1,1,1,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,1,1,5,4,5,5,3,2,3,3,2,0,4,4,1,0,1,3,5,4,2,1,3,0,0,2,0,2,3,2,2,3,0,2,0,1,3,1,1,1,0,1,1,0,0,1
Gary S Silver,,,,,,,,1,4,5,5,4,1,5,4,3,3,2,2,5,0,4,5,1,2,2,2,1,1,1,4,3,1,1,3,2,3,2,1,1,0,1,3,1,1,1,1,1,3,0,0,1
Michael Fanning,,,,,,,,,2,47,18,15,13,14,12,12,12,10,14,8,9,8,6,7,8,6,8,6,5,4,3,7,6,2,5,4,2,4,4,1,4,2,3,3,2,1,2,3,1,0,0,1
Vincent N Melchiorre,,,,,,,,,,0,13,15,11,11,12,12,9,13,8,9,10,11,10,7,7,6,8,7,7,8,6,6,7,3,5,1,1,5,3,4,5,3,4,4,2,2,2,4,2,1,1,1
Scott Diclaudio,,,,,,,,,,,2,22,8,14,14,11,9,6,13,8,4,10,7,7,8,8,6,5,6,3,3,8,5,7,10,9,8,4,3,2,5,2,2,3,3,2,2,2,1,1,0,1
Tracy B Roman,,,,,,,,,,,,0,13,12,14,16,6,9,11,10,3,8,7,10,10,10,5,7,9,6,5,6,6,6,10,7,10,5,4,5,5,2,2,1,4,3,1,2,0,2,0,1
Vincent Furlong,,,,,,,,,,,,,2,10,8,12,7,4,5,9,4,4,3,9,9,10,5,4,8,5,0,2,4,6,6,5,5,3,1,3,2,1,2,4,2,3,0,0,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,0,6,13,6,4,6,8,6,5,9,3,3,4,4,8,4,2,4,7,4,4,9,4,4,6,2,0,2,1,2,5,2,3,1,0,1,1,0,1
Ken Powell,,,,,,,,,,,,,,,1,5,10,3,10,5,8,11,6,5,9,8,3,2,4,4,2,5,6,8,4,8,6,2,2,2,3,2,1,1,2,1,1,2,1,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,0,3,7,8,8,5,3,6,11,7,7,8,11,8,6,4,4,4,5,6,3,4,7,6,4,1,3,5,4,3,1,3,1,1,3,1,1
Chris Mccabe,,,,,,,,,,,,,,,,,2,3,5,4,4,7,4,3,6,3,5,3,3,3,3,5,4,2,5,3,1,1,2,0,2,2,0,1,0,0,2,1,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,1,3,7,4,5,5,6,2,2,4,4,5,8,3,2,3,0,3,1,2,2,6,4,2,4,0,0,1,1,0,0,1,1,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,,0,7,5,4,3,4,6,4,4,4,2,3,0,6,4,3,6,4,3,4,4,3,5,1,3,2,4,1,2,3,1,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,0,0,2,6,5,3,8,3,3,6,5,0,2,3,3,8,4,6,7,3,7,1,2,5,2,4,2,1,1,2,0,1,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,,0,7,6,2,4,3,3,5,2,6,3,5,5,3,1,1,0,1,3,2,3,2,0,1,1,0,0,0,0,0,0,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,0,8,2,8,2,4,2,3,3,6,5,9,4,1,2,2,0,5,2,5,4,1,0,0,0,2,1,2,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,0,4,3,5,2,4,6,2,6,5,7,3,3,3,2,2,5,4,2,4,2,3,3,0,0,0,1,1,0,1
