col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Register Of Wills - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Ken Powell,Kai Scott,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Tracy B Roman,Mia Roberts Perez,Daine Grey Jr,Abbe Fletman,Scott Diclaudio,Jennifer Schultz,Thomas Martin,Rainy Papademetriou,Leon Goodman,Brian T Ortelere,Vincent N Melchiorre,Lynne M Summers,Jon Marshall,Deborah Watson Stokes,Frances Fattah,James F Berardinelli,Vincent Furlong,Franklin A Bennett Iii,Wayne M D Bennett,Edward William Louden Jr,Sandjai Weaver,Stella Tsai,Leon A King Ii,Betsy Wahl,Anthony Kyriakakis,Chris Mallios,Shanese Johnson,Lucretia Clemons,Marissa Brumbach,Chris Mccabe,Rania Major,Sherman Toppin,Vince Giusini,Joshua Hill,Jodi Lobel,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,All
Ronald R Donatucci,112,441,354,366,229,303,407,339,310,273,308,283,240,213,270,184,193,217,209,206,196,172,177,161,177,173,153,166,168,156,140,154,146,137,133,132,130,115,120,103,89,78,74,74,All
Ken Powell,,12,245,288,190,204,204,223,239,216,176,109,186,182,151,165,185,73,124,63,72,78,73,59,78,105,53,42,76,42,50,79,48,45,36,54,46,55,47,43,26,33,28,23,All
Kai Scott,,,7,265,230,293,134,258,239,225,78,91,176,157,83,138,183,73,32,101,82,43,55,56,73,28,68,58,71,67,69,110,70,66,48,71,52,57,44,38,39,36,21,40,All
Lyris Younge,,,,21,172,228,194,218,217,200,148,95,149,158,112,133,158,67,102,78,65,44,47,33,46,91,46,40,54,40,47,74,44,43,39,46,38,44,45,24,32,25,16,30,All
Michael Fanning,,,,,113,218,81,183,162,156,76,40,134,121,37,120,159,36,28,51,44,38,39,44,37,26,34,28,30,20,50,79,30,24,28,38,29,29,28,24,20,19,21,22,All
Stephanie M Sawyer,,,,,,10,131,241,224,193,71,97,149,148,51,117,169,96,26,121,68,36,56,40,46,26,55,70,50,80,53,83,64,62,61,47,37,43,29,31,40,43,27,39,All
Tracy B Roman,,,,,,,25,139,132,124,180,139,69,85,148,69,74,94,107,96,87,70,77,57,66,111,66,77,61,68,48,73,63,64,51,38,65,49,39,39,49,35,24,28,All
Mia Roberts Perez,,,,,,,,19,206,202,87,107,153,147,71,135,184,84,39,106,73,45,47,37,59,32,58,75,59,69,61,99,51,66,62,48,56,50,32,32,46,32,24,38,All
Daine Grey Jr,,,,,,,,,9,250,111,107,164,191,92,169,160,61,59,75,52,70,82,35,63,54,54,52,66,44,43,77,48,45,34,47,27,41,39,33,27,25,18,31,All
Abbe Fletman,,,,,,,,,,1,99,115,157,198,56,175,171,42,43,39,40,77,65,25,41,38,39,65,41,50,47,96,28,32,44,37,30,23,38,27,26,12,13,13,All
Scott Diclaudio,,,,,,,,,,,18,75,36,56,112,70,72,40,107,43,33,80,60,44,43,97,29,42,42,31,40,57,27,22,23,35,30,28,45,29,15,17,29,9,All
Jennifer Schultz,,,,,,,,,,,,7,67,83,91,85,41,103,72,85,76,96,102,47,69,65,60,86,63,84,62,30,45,65,78,40,62,41,46,28,36,30,26,37,All
Thomas Martin,,,,,,,,,,,,,6,153,69,146,137,63,58,50,56,40,57,44,59,47,51,27,44,31,31,30,43,29,23,28,32,35,34,33,31,15,26,19,All
Rainy Papademetriou,,,,,,,,,,,,,,2,67,186,131,47,45,31,35,81,72,31,27,41,35,47,36,25,42,29,25,27,28,27,29,29,35,16,25,12,18,10,All
Leon Goodman,,,,,,,,,,,,,,,13,51,27,62,118,53,71,80,71,42,73,96,48,45,65,34,43,33,37,37,22,36,39,33,36,41,24,30,23,19,All
Brian T Ortelere,,,,,,,,,,,,,,,,5,121,29,50,18,39,91,56,36,36,40,26,29,33,21,34,24,21,14,12,25,29,24,37,19,10,17,18,8,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,1,29,16,29,30,43,27,27,24,24,34,26,24,17,30,72,18,21,23,32,15,22,31,17,19,9,31,13,All
Lynne M Summers,,,,,,,,,,,,,,,,,,7,40,89,74,32,48,53,56,38,25,50,60,60,38,26,54,59,59,30,57,27,34,41,36,27,29,27,All
Jon Marshall,,,,,,,,,,,,,,,,,,,7,29,38,61,51,36,47,82,27,24,35,20,33,12,31,25,24,19,24,25,29,24,18,18,13,15,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,3,74,34,47,38,49,27,60,70,58,74,40,43,58,65,63,50,40,39,26,31,44,40,19,41,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,5,23,48,45,55,33,53,50,62,48,24,26,64,38,34,30,40,31,25,38,24,32,18,24,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,4,76,33,45,54,40,45,44,22,45,32,14,20,25,29,17,32,46,29,15,20,24,15,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,3,37,49,52,37,31,54,31,36,15,27,28,24,34,27,31,41,30,17,23,28,15,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,19,61,28,47,35,45,28,23,15,30,27,22,29,32,29,32,34,22,20,29,15,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,1,37,42,35,64,37,42,27,35,21,30,38,42,31,42,36,17,27,25,13,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,24,34,13,22,14,18,15,13,20,22,21,27,29,13,14,22,10,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,16,45,37,34,30,17,44,36,33,24,27,29,26,20,27,28,14,22,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,64,46,43,41,47,56,31,42,15,30,20,35,26,18,22,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,32,22,43,35,23,28,44,35,31,44,11,27,15,17,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,35,39,46,71,39,29,19,28,19,37,27,18,24,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,22,30,39,40,24,17,45,19,26,12,22,10,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,20,26,42,14,23,25,21,17,7,16,20,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,38,20,44,29,17,25,24,27,12,20,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,38,24,40,20,20,20,29,26,13,24,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,35,21,30,20,30,24,7,27,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,28,35,24,16,10,27,24,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,21,23,21,26,11,17,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,19,12,10,15,26,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,15,10,23,4,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,17,13,15,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,10,11,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,17,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,329",567,526,510,510,470,468,467,452,397,361,343,333,325,312,291,281,255,241,240,224,219,219,210,207,201,201,198,191,186,182,182,168,152,150,149,145,136,135,117,112,91,90,86,All
,Register Of Wills - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
