col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Alice Beck Dubow,Robert Colville,Lyris Younge,Tracy B Roman,Ken Powell,Scott Diclaudio,Daine Grey Jr,Kai Scott,Mia Roberts Perez,Abbe Fletman,Stephanie M Sawyer,Leon Goodman,Frances Fattah,Jon Marshall,Jennifer Schultz,Deborah Watson Stokes,Lynne M Summers,Edward William Louden Jr,Thomas Martin,Michael Fanning,Chris Mallios,Rainy Papademetriou,Vincent N Melchiorre,Anthony Kyriakakis,Shanese Johnson,Leon A King Ii,Lucretia Clemons,Marissa Brumbach,Wayne M D Bennett,Stella Tsai,Jodi Lobel,Sandjai Weaver,Betsy Wahl,Vincent Furlong,Rania Major,Brian T Ortelere,Sherman Toppin,James F Berardinelli,Franklin A Bennett Iii,Vince Giusini,Tangie M Boston,Joshua Hill,Starr Marshall Cash,Chris Mccabe,William J Ciancaglini,All
Alice Beck Dubow,58,0,195,199,198,179,152,140,135,120,126,110,97,91,92,80,85,80,67,80,81,52,73,59,70,68,57,49,56,60,42,52,46,40,47,35,44,29,29,26,29,25,25,23,20,All
Robert Colville,,4,18,18,15,15,11,14,10,9,6,15,8,14,9,9,7,16,12,2,4,12,5,6,5,7,7,6,6,4,8,6,4,4,7,8,4,8,2,4,2,5,3,4,2,All
Lyris Younge,,,5,148,132,128,108,115,96,93,93,63,41,58,45,43,32,54,30,59,68,31,66,29,25,32,21,24,24,23,27,22,24,19,22,19,25,14,13,16,12,10,13,13,9,All
Tracy B Roman,,,,7,135,127,112,83,90,81,87,73,32,61,52,37,46,61,34,57,62,34,58,23,42,29,29,24,26,31,17,25,23,23,32,22,19,18,11,13,18,14,9,2,8,All
Ken Powell,,,,,4,130,106,79,70,80,70,71,41,61,41,23,34,58,36,57,56,26,56,26,24,31,10,12,32,15,10,25,11,21,19,23,19,17,13,13,6,11,8,7,7,All
Scott Diclaudio,,,,,,1,88,67,63,73,63,60,16,53,29,13,23,53,21,56,53,18,58,22,11,13,6,9,21,14,9,11,5,15,14,24,9,18,7,14,8,10,3,3,7,All
Daine Grey Jr,,,,,,,7,83,80,105,85,45,43,34,36,28,35,25,39,56,60,37,56,26,30,31,18,10,26,23,11,26,20,27,22,28,14,25,14,11,11,12,9,8,9,All
Kai Scott,,,,,,,,2,91,90,91,31,40,15,36,49,31,13,30,57,70,22,66,22,27,36,25,28,23,28,29,28,24,10,18,9,25,11,11,14,15,10,11,13,7,All
