col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Lyris Younge,Ken Powell,Tracy B Roman,Scott Diclaudio,Daine Grey Jr,Abbe Fletman,Kai Scott,Stephanie M Sawyer,Mia Roberts Perez,Vincent N Melchiorre,Chris Mallios,Jon Marshall,Michael Fanning,Leon Goodman,Lynne M Summers,Wayne M D Bennett,Frances Fattah,Jennifer Schultz,Edward William Louden Jr,Brian T Ortelere,Deborah Watson Stokes,Jodi Lobel,Rania Major,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Thomas Martin,Vince Giusini,Chris Mccabe,James F Berardinelli,Lucretia Clemons,Vincent Furlong,Anthony Kyriakakis,Franklin A Bennett Iii,Marissa Brumbach,Rainy Papademetriou,Betsy Wahl,Joshua Hill,Leon A King Ii,Stella Tsai,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,1
Kevin M Dougherty,10,25,18,14,4,0,30,28,25,20,23,24,22,21,18,18,17,10,14,9,6,8,5,6,2,5,4,3,5,4,5,5,3,5,4,3,3,4,2,3,3,3,2,2,1,2,1,0,0,1
David Wecht,,0,11,8,0,0,25,23,22,20,15,15,15,15,14,14,14,9,11,4,4,2,3,3,2,2,0,1,2,2,3,1,4,2,3,1,1,1,2,1,3,0,2,2,0,0,0,1,0,1
Anne E Lazarus,,,0,4,1,1,10,8,5,5,10,8,10,10,8,8,7,2,5,3,4,6,4,4,1,1,1,2,4,3,3,2,2,4,3,1,2,1,1,1,2,0,2,1,0,1,0,0,0,1
Christine Donohue,,,,0,3,0,8,9,6,6,8,5,5,5,7,2,3,5,5,8,5,4,1,2,3,5,2,2,2,1,2,3,1,3,2,2,1,3,0,1,1,2,0,1,2,2,1,0,0,1
Dwayne D Woodruff,,,,,0,0,2,2,1,1,1,2,1,1,0,1,1,0,1,2,2,3,1,1,1,1,2,0,1,0,0,2,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1
John Henry Foradora,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lyris Younge,,,,,,,0,28,27,25,17,21,20,19,17,16,17,6,13,4,3,2,4,2,2,1,1,1,1,1,2,2,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
Ken Powell,,,,,,,,0,28,24,20,20,17,16,15,17,14,8,11,8,3,2,1,2,1,3,3,3,2,3,3,2,2,1,3,3,3,1,0,2,1,0,0,2,0,1,0,0,0,1
Tracy B Roman,,,,,,,,,1,26,16,18,15,15,13,15,14,6,12,4,1,1,1,1,1,2,0,0,2,1,2,0,0,0,0,1,0,2,0,2,0,1,0,1,0,0,1,0,0,1
Scott Diclaudio,,,,,,,,,,0,13,15,14,14,12,14,13,4,11,3,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,1
Daine Grey Jr,,,,,,,,,,,0,19,18,14,14,14,14,5,10,6,3,4,4,1,1,3,3,3,2,4,3,2,1,3,2,2,3,2,0,1,1,0,0,1,0,1,0,0,0,1
Abbe Fletman,,,,,,,,,,,,0,16,16,13,16,16,4,11,3,4,3,3,2,1,2,2,1,0,0,3,3,1,2,2,0,1,2,1,1,2,0,1,1,0,0,0,0,0,1
Kai Scott,,,,,,,,,,,,,0,17,16,14,16,4,12,2,2,5,4,2,3,2,2,3,4,5,2,4,0,3,2,1,2,0,1,0,1,1,1,0,1,2,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,1,16,18,16,2,14,3,4,2,3,2,2,1,1,2,4,3,3,4,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Mia Roberts Perez,,,,,,,,,,,,,,,0,13,14,1,13,4,2,1,2,2,0,1,2,2,2,3,2,1,1,1,1,2,2,1,1,0,1,1,2,0,2,1,0,0,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,0,16,2,12,1,1,1,1,0,0,0,1,0,1,1,2,1,1,0,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1
Chris Mallios,,,,,,,,,,,,,,,,,0,2,12,0,1,2,1,1,1,0,1,0,1,1,2,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,1,1,4,2,1,0,1,1,3,0,1,1,0,2,1,1,1,2,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1
Michael Fanning,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,2,0,1,0,2,0,0,1,1,1,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,1,4,2,3,3,2,3,1,2,1,2,3,2,2,0,2,1,1,1,1,0,1,1,0,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,0,3,3,3,2,2,2,3,2,1,2,4,2,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,2,2,1,3,2,2,3,0,4,2,1,2,1,1,1,1,1,1,0,0,1,1,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,1,1,2,2,1,2,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,2,1,2,1,1,1,1,0,0,1,1,0,1,0,2,1,0,0,0,0,0,1
