col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Michael Fanning,Tracy B Roman,Kai Scott,Ken Powell,Jennifer Schultz,Scott Diclaudio,Abbe Fletman,Chris Mallios,James F Berardinelli,Vincent N Melchiorre,Lyris Younge,Brian T Ortelere,Daine Grey Jr,Jon Marshall,Lynne M Summers,Mia Roberts Perez,Stephanie M Sawyer,Vincent Furlong,Betsy Wahl,Deborah Watson Stokes,Thomas Martin,Jodi Lobel,Rainy Papademetriou,Shanese Johnson,Anthony Kyriakakis,Chris Mccabe,Joshua Hill,Leon A King Ii,Lucretia Clemons,Sandjai Weaver,Stella Tsai,Vince Giusini,Frances Fattah,Leon Goodman,Marissa Brumbach,Starr Marshall Cash,William J Ciancaglini,Edward William Louden Jr,Wayne M D Bennett,Rania Major,Sherman Toppin,Franklin A Bennett Iii,Tangie M Boston,1
Christine Hope,0,7,5,6,3,1,3,1,8,10,6,6,7,5,6,5,2,5,5,4,4,1,5,5,5,3,4,4,3,2,2,4,2,1,3,0,3,0,2,1,2,1,3,3,1,0,1,0,2,0,0,1
Joffie C Pittman,,0,6,7,1,0,5,0,9,7,7,8,4,8,5,8,2,7,7,2,6,2,3,6,7,3,4,3,2,1,2,2,1,3,2,0,2,2,2,0,0,1,2,3,1,1,0,0,1,0,0,1
Sharon Williams Losier,,,0,5,0,4,0,2,5,5,4,3,4,2,2,2,3,1,2,3,3,5,5,3,2,3,3,5,4,3,1,3,0,2,2,1,2,2,1,0,2,2,2,3,1,1,0,1,2,0,0,1
Matthew Perks,,,,0,5,3,3,1,5,5,5,5,4,5,5,4,4,3,3,2,2,3,6,3,2,2,4,2,3,3,2,5,3,2,3,1,2,2,1,2,2,1,3,2,2,2,2,1,1,1,0,1
Christian Dicicco,,,,,2,4,2,0,4,5,3,2,2,3,4,2,3,2,3,0,3,3,2,3,3,1,1,2,1,1,2,3,3,1,2,1,0,1,2,3,1,1,1,1,2,0,1,0,0,0,0,1
Gary S Silver,,,,,,0,1,4,4,3,6,3,2,1,2,2,5,3,2,2,2,4,2,1,1,3,2,3,2,4,2,1,3,0,1,4,2,3,3,3,1,2,0,0,0,1,2,2,0,1,0,1
Daniel R Sulman,,,,,,,0,0,5,4,5,4,2,3,5,5,1,5,3,0,5,1,0,3,4,1,2,1,2,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,0,1,0,3,2,0,0,0,2,2,2,0,0,0,1,1,0,0,1,1,0,1,3,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,1,2,1,0,1,0,1
Michael Fanning,,,,,,,,,2,8,8,9,3,5,6,7,3,10,7,1,6,4,2,5,7,4,3,3,4,2,1,1,2,2,3,1,2,2,2,1,1,1,2,2,0,0,0,0,2,0,0,1
Tracy B Roman,,,,,,,,,,1,7,8,7,8,9,4,5,5,8,4,5,5,4,4,7,2,2,3,4,1,3,5,2,0,2,1,1,3,4,2,1,3,3,1,1,2,0,0,1,0,0,1
Kai Scott,,,,,,,,,,,0,6,3,4,8,8,4,7,6,2,5,2,2,7,7,4,5,3,3,4,2,1,2,2,1,4,4,2,3,1,1,2,2,1,0,2,2,2,1,1,0,1
Ken Powell,,,,,,,,,,,,0,5,7,5,5,4,8,7,2,4,4,3,3,4,3,1,2,3,1,2,1,3,1,2,2,2,2,1,1,2,2,1,1,0,2,2,1,1,1,0,1
Jennifer Schultz,,,,,,,,,,,,,0,1,4,2,5,1,1,5,2,3,5,2,2,3,4,5,2,2,2,3,1,2,3,0,1,0,1,1,2,1,3,2,0,1,0,0,1,0,0,1
Scott Diclaudio,,,,,,,,,,,,,,1,5,5,4,5,8,2,4,3,3,3,4,2,1,0,2,0,2,3,3,0,1,0,1,3,2,3,1,2,0,1,2,1,1,0,0,0,0,1
Abbe Fletman,,,,,,,,,,,,,,,0,5,2,4,6,1,4,3,2,4,6,2,3,1,2,2,3,3,1,1,2,1,1,1,3,1,1,2,3,0,0,0,0,0,1,0,0,1
Chris Mallios,,,,,,,,,,,,,,,,0,2,7,5,0,5,1,2,4,6,2,3,1,1,3,1,1,1,2,2,1,3,2,1,1,1,0,1,2,1,1,2,1,1,1,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,0,2,2,5,2,5,3,0,0,3,1,2,3,1,3,3,4,1,2,2,1,4,2,4,1,1,0,2,2,1,2,0,0,0,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,0,5,0,5,2,1,4,5,2,3,1,3,3,1,0,2,0,0,1,3,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,0,1,4,4,0,4,6,3,1,1,1,0,2,1,2,1,1,1,1,2,3,1,0,3,0,1,0,1,0,0,1,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,1,2,2,3,0,0,2,1,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,0,1,2,4,5,0,2,3,2,2,1,1,1,2,0,0,0,1,1,1,0,0,1,1,2,0,0,0,1,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,4,1,2,2,1,2,1,2,1,2,1,1,2,2,2,0,3,0,1,0,1,0,0,0,0,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,3,4,2,3,1,5,1,1,3,1,1,1,1,2,2,0,3,3,2,1,2,1,1,1,0,1
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,,0,6,2,4,4,1,2,2,2,1,1,0,0,1,0,1,0,1,1,3,2,0,0,0,1,1,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,3,0,2,2,2,0,1,1,1,0,1,3,0,0,1,3,2,0,0,0,0,1,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,1,0,1,1,3,1,3,1,1,0,1,3,0,1,1,0,0,1,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,4,2,2,1,1,0,0,2,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,2,1,2,1,0,0,0,1,1,1,1,2,3,0,0,0,1,1,0,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,2,0,1,0,3,2,0,1,1,0,1,0,1,0,0,0,1,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,2,1,0,0,0,0,2,0,0,1,1,1,0,1,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,1,0,2,2,1,0,1,2,1,0,0,1,0,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,0,2,2,2,2,0,3,2,2,0,1,0,1,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,2,1,3,1,0,0,1,1,0,2,0,0,0,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,2,1,1,2,1,0,1,0,1,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,0,1,0,0,0,1,2,1,0,1,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1,0,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,1,0,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,21,16,16,15,13,11,8,5,19,19,16,14,13,13,11,11,11,11,10,9,9,9,9,9,9,9,7,7,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,2,2,1,0,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Christine Hope,Sharon Williams Losier,Christian Dicicco,Matthew Perks,Joffie C Pittman,Daniel R Sulman,Franklin A Bennett Iii,Gary S Silver,Vincent Furlong,Scott Diclaudio,James F Berardinelli,Anthony Kyriakakis,Jennifer Schultz,Chris Mccabe,Vince Giusini,Lynne M Summers,Michael Fanning,Rainy Papademetriou,Ken Powell,Vincent N Melchiorre,Betsy Wahl,Thomas Martin,Tracy B Roman,Edward William Louden Jr,Mia Roberts Perez,Stephanie M Sawyer,Chris Mallios,Deborah Watson Stokes,Jon Marshall,Joshua Hill,Marissa Brumbach,Daine Grey Jr,Jodi Lobel,Leon Goodman,Stella Tsai,Abbe Fletman,Frances Fattah,Kai Scott,Lyris Younge,Sherman Toppin,William J Ciancaglini,Wayne M D Bennett,Brian T Ortelere,Lucretia Clemons,Shanese Johnson,Franklin A Bennett Iii,Leon A King Ii,Sandjai Weaver,Rania Major,Starr Marshall Cash,Tangie M Boston,2
Christine Hope,0,12,9,9,4,2,1,1,9,9,7,8,8,8,5,10,5,6,8,8,8,7,6,6,6,7,4,6,2,6,3,5,6,3,6,4,4,4,4,3,3,3,2,3,3,2,1,2,1,1,0,2
Sharon Williams Losier,,0,5,5,3,2,1,1,6,7,5,7,8,6,4,6,4,3,4,4,5,7,6,3,4,6,1,5,4,3,2,1,3,2,6,4,4,2,2,2,2,2,1,1,2,0,0,2,1,1,0,2
Christian Dicicco,,,0,4,2,3,2,0,6,6,6,5,6,3,3,8,1,3,4,5,2,2,4,4,1,5,2,4,2,4,4,2,3,3,3,2,3,1,2,2,3,1,1,1,2,2,0,1,0,0,0,2
Matthew Perks,,,,0,2,3,0,1,6,6,4,5,3,5,5,4,4,3,5,3,2,3,3,4,1,1,3,3,2,3,1,3,1,2,3,1,3,0,1,2,3,3,3,0,0,2,1,0,1,0,0,2
Joffie C Pittman,,,,,0,3,1,1,2,4,3,3,3,3,3,1,1,2,4,2,1,3,3,2,2,2,2,2,3,2,1,2,1,1,0,2,0,3,3,3,0,1,0,0,1,0,0,1,0,1,0,2
Daniel R Sulman,,,,,,0,0,0,4,2,5,2,2,4,4,0,2,1,1,2,2,3,1,0,0,1,2,1,2,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2
Franklin A Bennett Iii,,,,,,,0,0,1,1,2,0,1,1,0,2,0,2,0,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Gary S Silver,,,,,,,,0,2,1,2,1,2,0,3,0,1,1,2,0,1,2,1,2,1,0,1,0,1,0,1,2,0,1,0,2,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,2
Vincent Furlong,,,,,,,,,2,4,8,7,6,7,8,4,5,4,5,3,3,3,2,4,3,2,4,4,3,3,3,3,3,2,1,1,1,2,1,2,4,2,3,1,1,1,1,1,0,1,0,2
Scott Diclaudio,,,,,,,,,,1,6,5,4,4,3,3,2,4,5,5,2,3,3,5,2,2,5,0,3,4,2,3,3,3,3,3,2,1,3,2,1,1,0,0,1,1,0,1,1,0,0,2
James F Berardinelli,,,,,,,,,,,1,6,4,7,5,2,3,2,3,4,5,4,2,4,3,2,4,2,3,4,3,3,3,1,1,2,2,1,0,1,3,1,2,1,1,1,0,1,0,0,0,2
Anthony Kyriakakis,,,,,,,,,,,,0,7,5,6,3,2,3,4,3,3,3,3,2,3,3,2,5,3,4,1,1,3,0,2,2,1,3,1,2,3,2,2,3,2,1,0,1,1,1,0,2
Jennifer Schultz,,,,,,,,,,,,,0,2,6,4,1,1,4,0,2,4,5,2,2,5,0,4,5,3,3,1,4,1,4,4,2,1,1,3,2,3,2,1,2,0,2,2,1,1,0,2
Chris Mccabe,,,,,,,,,,,,,,0,5,1,5,3,4,5,3,4,0,1,3,1,3,2,1,2,2,3,2,0,0,1,1,3,2,1,2,0,2,1,1,1,0,1,0,1,0,2
Vince Giusini,,,,,,,,,,,,,,,0,1,5,3,5,2,2,3,3,2,3,2,3,2,3,1,3,2,2,2,0,2,1,2,1,3,2,2,2,1,0,0,1,1,0,1,0,2
Lynne M Summers,,,,,,,,,,,,,,,,0,1,4,3,4,3,3,6,5,1,5,1,5,1,3,3,2,2,2,4,1,3,1,2,2,3,1,1,1,2,2,0,0,0,0,0,2
