col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Ken Powell,Scott Diclaudio,Vincent N Melchiorre,Vince Giusini,Tracy B Roman,Michael Fanning,Rainy Papademetriou,Thomas Martin,Abbe Fletman,Brian T Ortelere,William J Ciancaglini,Jon Marshall,James F Berardinelli,Jennifer Schultz,Lyris Younge,Chris Mallios,Mia Roberts Perez,Betsy Wahl,Stella Tsai,Vincent Furlong,Stephanie M Sawyer,Kai Scott,Anthony Kyriakakis,Daine Grey Jr,Leon Goodman,Lynne M Summers,Chris Mccabe,Deborah Watson Stokes,Edward William Louden Jr,Lucretia Clemons,Jodi Lobel,Leon A King Ii,Rania Major,Wayne M D Bennett,Frances Fattah,Joshua Hill,Shanese Johnson,Sandjai Weaver,Franklin A Bennett Iii,Sherman Toppin,Tangie M Boston,Starr Marshall Cash,All
Marissa Brumbach,380,642,598,687,657,509,584,432,423,413,334,426,271,286,262,158,225,240,249,201,179,283,136,173,105,116,190,144,164,92,134,121,64,111,82,91,66,100,73,60,27,50,35,All
Ken Powell,,115,"1,045",765,499,524,885,763,773,687,684,188,372,223,189,493,312,229,155,132,152,205,150,138,178,208,106,99,84,179,60,75,90,54,96,60,67,50,45,47,49,30,21,All
Scott Diclaudio,,,120,837,652,584,730,728,686,628,687,361,399,409,222,478,268,160,139,143,231,180,87,146,156,210,146,124,80,185,70,68,77,83,109,76,69,51,58,68,52,43,26,All
Vincent N Melchiorre,,,,57,681,450,862,591,667,552,544,381,287,288,101,334,330,164,140,104,139,177,94,117,72,71,69,121,55,54,52,60,39,41,63,44,59,34,29,35,17,18,21,All
Vince Giusini,,,,,124,386,424,375,428,324,327,467,218,378,175,141,201,139,153,130,217,91,96,175,82,115,118,131,70,96,77,76,54,63,94,58,65,49,52,49,34,18,23,All
Tracy B Roman,,,,,,51,465,365,470,246,264,243,698,226,278,316,227,172,158,179,166,169,101,111,165,200,203,83,147,174,116,94,77,126,76,99,67,90,76,57,47,46,34,All
Michael Fanning,,,,,,,54,651,806,542,585,175,337,115,90,369,329,157,114,74,88,192,109,101,84,73,85,106,65,55,47,44,43,48,50,51,49,39,25,37,33,26,28,All
Rainy Papademetriou,,,,,,,,17,663,802,788,131,216,231,233,313,244,252,187,223,145,209,198,198,193,112,101,81,83,90,102,87,94,79,56,67,67,46,66,23,38,22,24,All
Thomas Martin,,,,,,,,,19,514,587,134,336,101,102,309,204,80,83,56,91,136,54,63,74,87,93,81,50,55,43,39,51,48,65,50,59,47,37,35,47,22,22,All
Abbe Fletman,,,,,,,,,,14,657,110,97,198,241,280,324,264,204,226,110,232,266,193,178,90,102,99,100,66,107,107,88,69,59,45,74,56,48,25,37,20,20,All
