col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Abbe Fletman,Kai Scott,Rainy Papademetriou,Chris Mallios,Ken Powell,Stephanie M Sawyer,Brian T Ortelere,James F Berardinelli,Betsy Wahl,Anthony Kyriakakis,Mia Roberts Perez,Stella Tsai,Jodi Lobel,Deborah Watson Stokes,Vincent N Melchiorre,Tracy B Roman,Daine Grey Jr,Lyris Younge,Jennifer Schultz,Leon Goodman,Scott Diclaudio,Frances Fattah,Lynne M Summers,Lucretia Clemons,Leon A King Ii,Vince Giusini,Jon Marshall,Edward William Louden Jr,Wayne M D Bennett,Rania Major,Thomas Martin,Marissa Brumbach,Michael Fanning,Sandjai Weaver,Shanese Johnson,Chris Mccabe,Vincent Furlong,Joshua Hill,Sherman Toppin,Franklin A Bennett Iii,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,Matthew Perks,Daniel R Sulman,Joffie C Pittman,Sharon Williams Losier,Christine Hope,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,All
Abbe Fletman,2,449,353,391,233,273,257,235,221,243,193,205,193,84,178,89,131,59,94,56,50,54,46,76,50,81,30,25,41,34,44,45,47,25,23,47,25,25,15,11,14,10,12,338,357,246,107,135,40,36,23,All
Kai Scott,,3,350,411,223,284,245,228,240,249,206,192,190,103,191,62,129,75,85,45,45,58,47,85,58,71,20,19,39,41,35,39,45,29,26,53,26,25,17,16,18,17,10,339,356,258,100,121,37,26,23,All
Rainy Papademetriou,,,3,301,230,240,278,249,222,254,163,175,217,92,190,58,118,65,98,75,49,44,65,57,56,85,40,40,40,30,45,35,25,31,19,37,37,24,19,11,11,15,8,288,299,214,89,105,43,38,21,All
Chris Mallios,,,,3,187,237,203,200,211,220,166,155,171,56,172,31,95,41,55,22,28,32,25,45,28,64,15,8,23,20,19,24,47,13,11,37,9,23,13,11,5,8,6,293,321,210,60,80,22,18,12,All
Ken Powell,,,,,5,183,207,190,133,159,120,80,139,104,136,116,117,130,65,120,110,60,67,37,47,43,88,72,45,49,43,24,45,32,26,32,33,35,23,17,18,13,9,213,178,171,143,117,44,42,29,All
Stephanie M Sawyer,,,,,,3,204,201,206,210,157,130,173,107,170,58,113,58,61,27,31,51,54,71,32,65,16,9,29,36,21,45,39,22,32,31,9,18,14,12,19,11,13,190,227,152,91,108,28,21,17,All
Brian T Ortelere,,,,,,,2,248,172,211,79,81,165,53,148,55,104,41,59,49,57,27,19,33,28,83,38,37,41,31,33,16,11,21,13,36,18,19,25,15,12,11,5,228,226,125,66,73,29,37,16,All
James F Berardinelli,,,,,,,,0,161,202,75,78,158,53,152,58,96,34,54,44,56,32,21,21,45,98,31,40,37,25,24,19,17,19,17,21,20,22,19,15,4,12,9,213,214,119,60,72,34,32,15,All
Betsy Wahl,,,,,,,,,0,183,106,102,188,85,159,42,41,31,78,19,14,39,55,62,34,67,9,15,27,32,13,49,19,22,29,20,13,24,10,14,12,9,11,196,196,114,71,95,27,26,12,All
Anthony Kyriakakis,,,,,,,,,,0,93,107,168,44,150,20,64,24,39,23,17,22,23,31,29,78,16,12,23,22,21,23,19,17,13,28,16,12,7,12,3,13,4,204,234,121,43,58,27,22,16,All
Mia Roberts Perez,,,,,,,,,,,4,172,58,76,51,67,114,54,83,30,43,61,59,69,44,20,14,18,40,49,17,49,52,27,36,32,16,30,18,16,14,10,14,96,136,196,102,109,31,23,26,All
Stella Tsai,,,,,,,,,,,,2,72,67,35,49,86,27,89,26,17,51,57,68,44,28,12,16,35,43,14,46,25,31,27,28,15,18,12,13,11,7,14,122,155,175,63,85,27,12,16,All
Jodi Lobel,,,,,,,,,,,,,1,84,157,21,19,40,42,34,11,25,59,46,23,61,8,6,14,24,14,35,11,13,21,17,9,14,9,7,13,7,8,196,189,68,44,61,20,17,11,All
Deborah Watson Stokes,,,,,,,,,,,,,,27,62,62,41,73,59,69,30,62,94,60,45,17,23,26,31,44,21,46,20,28,37,17,18,21,16,13,27,11,19,75,68,72,99,84,36,25,26,All
Vincent N Melchiorre,,,,,,,,,,,,,,,1,32,35,56,22,34,31,25,35,29,14,62,12,15,12,13,19,7,32,19,11,22,20,17,11,10,4,14,9,168,162,58,46,62,21,23,17,All
Tracy B Roman,,,,,,,,,,,,,,,,4,82,100,88,89,113,49,60,44,42,36,79,76,40,45,31,38,27,36,31,13,31,26,28,12,20,13,14,73,29,98,149,112,47,41,29,All
Daine Grey Jr,,,,,,,,,,,,,,,,,1,70,60,57,64,36,33,32,37,32,42,36,44,27,26,17,38,16,14,19,19,21,21,10,8,9,5,57,75,135,93,87,29,31,20,All
Lyris Younge,,,,,,,,,,,,,,,,,,3,53,94,83,51,59,35,37,24,72,72,26,32,26,23,27,26,28,19,29,16,20,5,12,9,13,71,40,92,119,81,27,28,27,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,2,61,48,50,59,53,48,24,47,40,33,41,32,50,17,24,30,20,37,23,22,13,14,10,12,78,57,101,91,89,43,35,19,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,2,79,49,59,30,42,25,88,68,31,30,34,12,16,18,24,15,32,19,11,15,11,8,7,79,32,84,98,59,34,34,32,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,6,24,18,9,29,34,77,70,30,27,23,9,32,30,16,18,31,18,25,12,10,11,8,64,20,89,119,67,33,29,19,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,2,62,46,51,24,27,22,35,50,23,33,21,28,47,22,27,32,17,17,15,16,13,47,36,52,80,81,39,23,30,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,2,61,36,20,27,16,25,44,24,50,15,25,41,9,20,20,23,11,19,16,9,44,38,45,84,86,33,35,25,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,2,31,19,17,15,29,47,18,58,27,23,29,19,19,13,8,13,17,7,9,62,54,66,66,71,28,24,19,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,1,27,25,26,34,27,29,15,12,20,26,16,23,25,23,8,12,7,7,53,35,60,57,52,24,24,25,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,17,38,21,25,15,19,22,6,15,15,19,17,11,3,13,4,84,73,39,42,53,30,17,11,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,4,70,17,12,31,16,16,17,19,10,25,11,11,7,8,9,7,58,14,55,86,43,27,29,14,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,12,22,11,9,17,15,10,28,11,12,9,4,8,6,56,11,51,73,42,23,26,17,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,28,17,17,19,16,10,18,28,22,20,9,7,2,38,27,46,48,48,20,27,18,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,28,13,32,29,7,14,19,18,13,17,4,13,37,21,43,56,70,23,22,24,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,21,16,17,19,20,15,24,12,5,8,3,42,21,31,40,38,28,19,16,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,23,11,11,9,6,8,16,3,11,33,32,41,54,60,22,22,9,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,14,19,8,15,9,14,6,7,5,28,26,50,46,40,18,15,12,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,5,16,14,18,13,10,8,7,26,20,33,44,45,21,16,21,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,14,11,14,7,13,13,9,25,17,30,50,48,20,18,11,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,8,7,4,10,8,38,35,37,24,26,15,10,12,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,10,5,7,9,6,23,14,23,33,39,21,23,16,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,8,5,12,3,30,28,29,25,32,15,16,18,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,7,6,23,16,29,28,28,15,10,10,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,4,17,10,12,24,19,13,9,19,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,7,15,13,13,21,23,11,13,5,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,11,12,14,15,22,19,11,6,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,5,10,17,20,11,4,6,All
Matthew Perks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,319,187,78,69,28,33,17,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,203,26,55,17,20,11,All
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,113,93,19,22,17,All
Sharon Williams Losier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,156,56,42,31,All
Christine Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,62,36,33,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,18,All
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,578,574,512,462,438,374,359,337,321,314,308,287,278,270,260,242,227,227,211,205,202,174,169,162,149,143,140,131,120,116,103,102,91,91,91,87,86,80,68,48,44,42,35,496,436,419,346,297,127,108,83,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Abbe Fletman,Kai Scott,Brian T Ortelere,Chris Mallios,Rainy Papademetriou,Ken Powell,Anthony Kyriakakis,Betsy Wahl,Stephanie M Sawyer,James F Berardinelli,Jodi Lobel,Vincent N Melchiorre,Stella Tsai,Chris Mccabe,Mia Roberts Perez,Tracy B Roman,Jennifer Schultz,Daine Grey Jr,Lucretia Clemons,Lyris Younge,Jon Marshall,Scott Diclaudio,Lynne M Summers,Marissa Brumbach,Thomas Martin,William J Ciancaglini,Deborah Watson Stokes,Edward William Louden Jr,Leon A King Ii,Leon Goodman,Shanese Johnson,Frances Fattah,Rania Major,Sandjai Weaver,Vince Giusini,Franklin A Bennett Iii,Michael Fanning,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,Vincent Furlong,Wayne M D Bennett,Joshua Hill,Daniel R Sulman,Matthew Perks,Joffie C Pittman,Christine Hope,Sharon Williams Losier,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,1
Abbe Fletman,1,32,27,27,27,21,23,23,21,20,19,16,12,7,7,5,4,4,6,3,2,2,3,3,3,2,2,1,2,1,1,1,2,2,2,1,0,0,1,0,1,0,0,28,25,10,5,2,1,2,1,1
Kai Scott,,0,24,27,25,20,23,22,19,19,19,16,9,7,5,4,2,3,4,1,1,1,1,1,2,1,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,27,25,9,3,1,1,1,0,1
