col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Kai Scott,Lyris Younge,Tracy B Roman,Daine Grey Jr,Ken Powell,Jon Marshall,Scott Diclaudio,Mia Roberts Perez,Leon Goodman,Abbe Fletman,Frances Fattah,Stephanie M Sawyer,Deborah Watson Stokes,Rainy Papademetriou,Jennifer Schultz,Chris Mallios,Michael Fanning,Vincent N Melchiorre,Leon A King Ii,Thomas Martin,Stella Tsai,Edward William Louden Jr,Lynne M Summers,Lucretia Clemons,Wayne M D Bennett,Brian T Ortelere,Shanese Johnson,Betsy Wahl,Marissa Brumbach,Anthony Kyriakakis,Sherman Toppin,Vincent Furlong,Rania Major,James F Berardinelli,Sandjai Weaver,Joshua Hill,Tangie M Boston,Jodi Lobel,Chris Mccabe,Starr Marshall Cash,Franklin A Bennett Iii,Vince Giusini,William J Ciancaglini,All
Kevin M Dougherty,291,849,554,526,194,176,672,627,621,683,619,547,510,510,440,439,479,381,347,349,402,313,381,290,311,311,188,234,285,254,253,275,249,189,250,196,211,224,202,199,170,179,141,125,122,122,117,83,83,All
Anne E Lazarus,,18,466,372,218,103,570,408,409,452,363,318,279,437,305,382,386,350,373,286,280,264,199,234,249,204,290,118,226,223,193,158,200,231,198,170,176,137,175,111,146,139,118,119,102,83,91,66,59,All
David Wecht,,,52,250,129,47,455,455,426,414,449,361,421,355,232,366,151,203,215,209,134,296,215,279,123,116,205,169,98,109,122,105,75,146,64,132,109,79,75,100,77,64,68,70,77,51,43,58,38,All
Christine Donohue,,,,29,64,90,271,337,372,268,315,246,259,239,278,173,254,195,221,147,232,95,116,97,144,143,150,187,161,156,135,117,151,116,116,91,127,126,126,116,110,103,97,99,96,85,65,49,42,All
John Henry Foradora,,,,,6,21,141,69,72,138,72,104,58,98,112,141,104,96,90,186,127,91,30,63,48,48,113,47,33,39,42,101,38,80,79,75,23,52,23,54,29,32,20,25,23,21,18,24,18,All
Dwayne D Woodruff,,,,,,2,106,95,80,87,93,62,47,80,72,47,100,83,74,40,61,35,42,29,79,67,45,49,64,55,57,27,54,36,33,35,46,36,36,21,43,46,29,18,22,28,28,17,15,All
Kai Scott,,,,,,,10,452,350,463,342,255,286,495,160,422,258,318,291,194,132,377,298,328,173,122,223,63,134,141,120,53,146,186,101,136,126,72,106,61,107,94,87,80,95,73,54,43,37,All
Lyris Younge,,,,,,,,10,494,395,490,426,437,336,243,303,201,191,187,126,157,237,248,238,117,113,86,202,111,115,103,98,105,77,76,68,134,86,75,98,73,72,60,78,89,66,34,47,25,All
Tracy B Roman,,,,,,,,,6,373,479,420,476,299,267,273,181,155,141,122,204,199,222,209,133,118,99,210,141,96,112,123,110,87,76,60,80,101,102,109,86,79,73,45,36,52,40,41,34,All
Daine Grey Jr,,,,,,,,,,0,370,285,328,383,210,398,178,276,224,236,181,286,240,263,162,132,162,121,125,91,142,139,104,151,72,126,107,129,112,123,89,88,77,41,62,73,44,52,29,All
Ken Powell,,,,,,,,,,,3,446,445,273,293,268,148,134,113,122,160,204,236,223,144,153,56,209,109,77,118,115,105,55,69,57,79,94,70,105,69,93,52,46,43,36,47,39,28,All
Jon Marshall,,,,,,,,,,,,6,403,206,297,215,170,62,76,165,174,166,207,180,96,133,37,167,76,74,76,136,69,31,107,64,58,76,51,89,55,64,41,42,33,27,38,22,20,All
Scott Diclaudio,,,,,,,,,,,,,8,240,228,243,99,89,69,98,129,201,214,205,94,79,44,196,63,52,88,115,49,33,35,50,57,64,58,120,44,49,51,18,25,28,45,36,32,All
Mia Roberts Perez,,,,,,,,,,,,,,3,122,347,205,264,264,149,121,299,247,291,133,92,217,52,111,132,78,36,96,165,84,111,116,58,88,37,72,79,57,66,96,73,28,23,33,All
Leon Goodman,,,,,,,,,,,,,,,11,66,222,123,151,141,203,36,64,41,160,136,66,193,93,73,127,148,89,46,107,51,80,104,80,116,66,89,61,38,42,40,53,48,27,All
Abbe Fletman,,,,,,,,,,,,,,,,0,108,142,165,199,117,300,196,275,66,59,196,51,60,81,50,79,49,130,49,112,69,72,41,79,42,39,32,59,56,24,18,29,23,All
Frances Fattah,,,,,,,,,,,,,,,,,6,173,226,124,188,44,81,69,162,140,115,76,162,115,110,105,139,87,124,63,120,107,99,59,84,101,73,57,74,63,56,20,26,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,3,268,129,114,146,107,116,149,96,158,47,124,99,102,33,109,174,87,109,85,56,97,46,76,66,78,48,62,84,36,30,37,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,0,128,110,120,78,122,126,105,186,48,133,144,87,32,121,172,88,109,104,69,88,46,89,80,98,89,104,88,38,31,30,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,1,177,135,65,90,64,75,170,70,55,95,43,158,47,114,126,149,36,74,55,110,42,28,24,65,27,15,12,14,14,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,3,36,51,31,80,94,91,104,127,93,86,180,100,92,127,54,52,104,85,126,71,65,48,40,36,31,35,36,23,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,1,223,266,47,32,124,24,29,31,43,21,18,98,24,96,39,10,19,30,31,18,22,25,48,37,10,20,10,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,0,219,49,91,31,32,45,64,62,47,44,28,73,56,56,34,51,25,35,49,44,58,43,38,34,16,23,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,1,31,34,104,16,28,48,29,23,23,77,25,76,52,20,23,18,28,24,15,46,49,18,15,18,22,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,1,102,72,72,106,77,136,44,87,50,48,68,101,79,88,60,64,96,58,32,32,38,48,32,25,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,72,95,102,101,48,86,38,82,61,71,81,66,40,54,94,44,52,36,33,43,36,34,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,73,105,46,30,75,145,59,103,62,37,61,39,59,43,45,63,49,22,18,24,15,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,48,40,57,90,40,15,27,32,56,60,32,80,35,43,19,12,19,26,25,23,17,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,98,81,41,116,86,80,43,59,67,84,31,46,79,69,43,26,47,47,21,27,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,24,82,78,109,80,72,35,66,29,50,54,46,101,55,45,28,21,32,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,54,41,38,64,52,70,75,56,63,62,55,29,22,26,62,49,15,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,20,65,31,32,76,39,107,30,29,23,19,18,9,30,22,16,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,70,33,52,51,86,14,59,59,57,32,31,48,31,21,14,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,109,28,30,58,17,42,29,38,42,24,35,25,17,11,All
