col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Rainy Papademetriou,Jon Marshall,Frances Fattah,Ken Powell,Leon Goodman,Marissa Brumbach,Jennifer Schultz,Kai Scott,Thomas Martin,Lyris Younge,Stephanie M Sawyer,Daine Grey Jr,Lucretia Clemons,Michael Fanning,Tracy B Roman,Scott Diclaudio,Anthony Kyriakakis,Mia Roberts Perez,Deborah Watson Stokes,Abbe Fletman,Betsy Wahl,Brian T Ortelere,Jodi Lobel,Leon A King Ii,Shanese Johnson,Edward William Louden Jr,Vincent Furlong,Lynne M Summers,Stella Tsai,Sandjai Weaver,Chris Mallios,Tangie M Boston,Sherman Toppin,Wayne M D Bennett,Rania Major,Chris Mccabe,James F Berardinelli,Franklin A Bennett Iii,Joshua Hill,Vincent N Melchiorre,Vince Giusini,William J Ciancaglini,Starr Marshall Cash,1
Sharon Williams Losier,3,28,13,21,7,7,4,1,17,17,19,22,18,14,16,22,13,21,22,17,14,17,16,18,7,16,14,13,11,6,8,10,10,8,11,10,6,9,8,8,7,6,7,4,4,2,4,4,5,3,2,1
Christine Hope,,2,9,16,4,10,4,2,17,9,14,16,12,9,14,19,13,15,19,17,10,15,12,9,10,12,17,12,6,6,6,11,7,3,6,8,9,6,8,6,7,7,6,6,4,4,3,4,2,2,2,1
Matthew Perks,,,2,4,3,1,2,1,15,17,14,9,17,13,13,6,5,6,6,3,7,6,10,6,7,2,9,2,3,10,3,2,6,5,3,4,5,3,4,4,1,2,3,2,3,1,1,1,2,0,0,1
Joffie C Pittman,,,,0,1,3,2,2,10,8,9,14,8,3,7,12,7,16,13,15,6,8,10,13,3,13,7,10,5,3,1,7,7,3,5,2,7,3,8,2,6,5,2,5,1,2,0,5,4,1,3,1
Gary S Silver,,,,,0,1,4,1,4,2,2,1,3,4,4,3,4,1,4,5,3,3,4,1,2,3,2,5,2,4,2,2,1,2,5,3,4,4,1,1,1,1,3,0,3,0,5,2,0,1,0,1
Christian Dicicco,,,,,,1,0,0,3,2,2,5,4,3,5,2,4,4,2,4,5,3,1,2,4,4,3,4,2,1,3,4,1,2,1,1,1,0,1,3,3,4,3,4,3,3,2,0,2,1,1,1
Franklin A Bennett Iii,,,,,,,0,0,3,3,3,1,2,3,3,2,5,2,2,3,3,3,4,0,2,5,3,1,0,2,3,3,1,1,3,4,3,4,0,2,2,2,1,0,0,2,3,0,0,1,1,1
Daniel R Sulman,,,,,,,,0,2,1,1,0,1,2,3,1,1,0,5,3,0,0,1,0,3,1,3,3,2,0,1,1,1,0,0,0,3,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
