col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Senator In The General Assembly 5th District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,John Sabatina,Kevin J Boyle,Thaddeus Kirkland,H Douglass Brown,Peter Cutty,Blake Rutherford,Amanda Mcillmurray,Anne Wakabayashi,Jennifer Lentz,Katherine Hunter Snyder,Kat Richter,Cathy Brady,Ryan N Boyer,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Jacob Adeniran,Ted Kirsch,All
John Sabatina,223,0,582,475,409,419,336,360,316,305,296,318,291,301,314,289,266,270,All
Kevin J Boyle,,193,478,486,408,384,373,334,336,328,335,324,325,310,285,268,286,282,All
Thaddeus Kirkland,,,24,222,206,699,165,603,550,131,117,551,542,527,539,490,84,481,All
H Douglass Brown,,,,13,733,196,639,155,167,581,587,146,142,121,116,100,525,99,All
Peter Cutty,,,,,11,192,603,156,170,550,565,141,146,113,114,103,512,105,All
Blake Rutherford,,,,,,10,143,553,525,114,105,518,526,470,489,463,75,454,All
Amanda Mcillmurray,,,,,,,0,170,189,591,604,154,144,125,132,110,534,112,All
Anne Wakabayashi,,,,,,,,2,561,130,125,547,527,515,546,480,94,487,All
Jennifer Lentz,,,,,,,,,0,140,142,521,515,474,505,483,100,483,All
Katherine Hunter Snyder,,,,,,,,,,2,577,139,128,129,105,107,519,106,All
Kat Richter,,,,,,,,,,,1,116,114,106,103,97,538,95,All
Cathy Brady,,,,,,,,,,,,1,508,481,496,470,89,480,All
Ryan N Boyer,,,,,,,,,,,,,3,454,468,453,88,453,All
Maria Quinones Sanchez,,,,,,,,,,,,,,1,493,465,85,448,All
Leanne Krueger Braneky,,,,,,,,,,,,,,,2,449,72,439,All
Angel Cruz,,,,,,,,,,,,,,,,5,73,452,All
Jacob Adeniran,,,,,,,,,,,,,,,,,0,79,All
Ted Kirsch,,,,,,,,,,,,,,,,,,0,All
Total,"1,300","1,227","1,120","1,017",865,847,748,720,676,672,670,665,639,636,627,587,583,574,All
,Senator In The General Assembly 5th District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,1
,John Sabatina,Kevin J Boyle,H Douglass Brown,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Peter Cutty,Blake Rutherford,Katherine Hunter Snyder,Anne Wakabayashi,Jacob Adeniran,Jennifer Lentz,Ted Kirsch,Cathy Brady,Ryan N Boyer,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,1
John Sabatina,7,0,22,20,24,21,23,16,18,15,18,13,14,12,14,12,14,12,1
Kevin J Boyle,,7,23,24,22,21,19,22,16,21,15,22,19,20,18,19,14,14,1
H Douglass Brown,,,0,39,7,39,39,7,34,7,33,8,4,3,7,3,2,1,1
Amanda Mcillmurray,,,,0,6,42,39,6,36,8,36,10,7,4,6,5,3,3,1
Thaddeus Kirkland,,,,,1,5,6,31,1,30,1,28,27,25,28,25,23,23,1
Kat Richter,,,,,,0,39,4,37,7,35,8,5,4,5,4,3,2,1
Peter Cutty,,,,,,,0,6,33,7,34,7,4,3,6,2,3,2,1
Blake Rutherford,,,,,,,,0,1,28,1,29,26,26,28,23,24,24,1
Katherine Hunter Snyder,,,,,,,,,0,4,32,4,2,2,2,2,2,2,1
Anne Wakabayashi,,,,,,,,,,0,4,31,27,27,28,28,25,25,1
Jacob Adeniran,,,,,,,,,,,0,4,3,1,3,3,1,1,1
Jennifer Lentz,,,,,,,,,,,,0,28,26,29,27,25,25,1
Ted Kirsch,,,,,,,,,,,,,0,24,25,25,22,23,1
Cathy Brady,,,,,,,,,,,,,,0,25,26,22,24,1
Ryan N Boyer,,,,,,,,,,,,,,,0,24,22,24,1
Maria Quinones Sanchez,,,,,,,,,,,,,,,,0,24,23,1
Leanne Krueger Braneky,,,,,,,,,,,,,,,,,0,20,1
Angel Cruz,,,,,,,,,,,,,,,,,,0,1
Total,60,60,48,47,47,45,45,38,37,36,36,35,33,32,32,31,28,26,1
,Senator In The General Assembly 5th District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,2
,John Sabatina,Kevin J Boyle,H Douglass Brown,Thaddeus Kirkland,Peter Cutty,Blake Rutherford,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Katherine Hunter Snyder,Jennifer Lentz,Anne Wakabayashi,Cathy Brady,Maria Quinones Sanchez,Angel Cruz,Leanne Krueger Braneky,Ryan N Boyer,Ted Kirsch,2
John Sabatina,10,0,20,24,18,16,13,12,11,10,8,10,8,8,6,7,4,4,2
Kevin J Boyle,,9,27,21,21,18,21,19,18,19,15,12,14,14,13,11,14,12,2
H Douglass Brown,,,2,12,32,13,28,26,24,25,9,7,6,9,4,4,8,6,2
Thaddeus Kirkland,,,,1,11,28,10,6,6,6,16,20,16,17,14,15,15,12,2
Peter Cutty,,,,,0,12,24,23,21,22,9,8,6,8,5,6,8,5,2
Blake Rutherford,,,,,,0,11,8,7,8,17,19,15,18,15,14,16,12,2
Amanda Mcillmurray,,,,,,,0,29,26,27,11,9,7,9,6,4,7,7,2
Kat Richter,,,,,,,,0,25,25,11,6,6,7,6,4,5,6,2
Jacob Adeniran,,,,,,,,,0,24,10,7,9,8,6,4,7,6,2
Katherine Hunter Snyder,,,,,,,,,,0,8,4,6,9,5,2,7,6,2
