col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,All
Brendan F Boyle,105,0,274,285,258,253,242,3,All
Michele Lawrence,,34,176,151,166,162,118,4,All
Kathy Enggasser,,,6,343,337,363,330,5,All
James G Donnelly Sr,,,,10,330,326,328,6,All
John Dellricci,,,,,7,329,325,7,All
Mary Ann Quartullo,,,,,,6,317,8,All
Patrick Parkinson,,,,,,,2,9,All
Total,508,322,469,456,443,433,372,10,All
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,1
Brendan F Boyle,6,0,8,6,8,6,6,3,1
Michele Lawrence,,3,6,6,4,6,3,4,1
Kathy Enggasser,,,0,9,8,8,6,5,1
John Dellricci,,,,0,8,9,6,6,1
Mary Ann Quartullo,,,,,0,9,5,7,1
Patrick Parkinson,,,,,,0,7,8,1
James G Donnelly Sr,,,,,,,0,9,1
Total,18,14,14,12,12,12,9,10,1
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,2
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,2
Brendan F Boyle,7,0,8,10,8,6,7,3,2
Michele Lawrence,,1,7,6,6,6,3,4,2
Kathy Enggasser,,,2,11,11,10,10,5,2
John Dellricci,,,,0,11,8,10,6,2
James G Donnelly Sr,,,,,0,8,10,7,2
Mary Ann Quartullo,,,,,,1,7,8,2
Patrick Parkinson,,,,,,,0,9,2
Total,19,14,17,16,14,13,10,10,2
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,Brendan F Boyle,Michele Lawrence,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,3
Brendan F Boyle,2,0,10,7,9,9,9,3,3
Michele Lawrence,,0,8,8,6,5,4,4,3
John Dellricci,,,0,10,10,11,10,5,3
Kathy Enggasser,,,,0,11,11,9,6,3
Mary Ann Quartullo,,,,,0,12,10,7,3
James G Donnelly Sr,,,,,,0,11,8,3
Patrick Parkinson,,,,,,,0,9,3
Total,18,12,18,15,15,14,13,10,3
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,4
,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,Kathy Enggasser,Brendan F Boyle,Michele Lawrence,2,4
James G Donnelly Sr,0,18,16,17,15,11,10,3,4
Mary Ann Quartullo,,0,15,17,17,11,10,4,4
Patrick Parkinson,,,0,15,16,12,7,5,4
John Dellricci,,,,0,15,9,9,6,4
Kathy Enggasser,,,,,0,9,8,7,4
Brendan F Boyle,,,,,,3,0,8,4
Michele Lawrence,,,,,,,1,9,4
Total,22,22,20,19,18,19,14,10,4
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,5
,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,John Dellricci,Brendan F Boyle,Michele Lawrence,2,5
Kathy Enggasser,0,20,18,16,15,12,12,3,5
Mary Ann Quartullo,,0,19,18,16,11,12,4,5
James G Donnelly Sr,,,0,19,16,13,10,5,5
Patrick Parkinson,,,,0,16,10,9,6,5
John Dellricci,,,,,0,10,8,7,5
Brendan F Boyle,,,,,,1,0,8,5
Michele Lawrence,,,,,,,0,9,5
Total,25,24,23,19,18,18,15,10,5
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,6
,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,Brendan F Boyle,Michele Lawrence,2,6
James G Donnelly Sr,0,15,14,15,12,10,12,3,6
Kathy Enggasser,,0,16,15,15,8,11,4,6
Mary Ann Quartullo,,,0,13,14,8,9,5,6
Patrick Parkinson,,,,0,13,10,6,6,6
John Dellricci,,,,,0,6,9,7,6
Brendan F Boyle,,,,,,5,0,8,6
Michele Lawrence,,,,,,,0,9,6
Total,23,21,18,18,17,19,17,10,6
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,7
,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Michele Lawrence,Brendan F Boyle,2,7
John Dellricci,1,6,6,6,6,6,4,3,7
James G Donnelly Sr,,0,6,5,5,6,3,4,7
Kathy Enggasser,,,0,6,6,5,4,5,7
Mary Ann Quartullo,,,,0,6,4,2,6,7
Patrick Parkinson,,,,,0,4,2,7,7
Michele Lawrence,,,,,,1,0,8,7
Brendan F Boyle,,,,,,,3,9,7
Total,11,9,9,6,6,10,9,10,7
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,8
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,James G Donnelly Sr,2,8
Brendan F Boyle,4,0,6,6,5,7,5,3,8
Michele Lawrence,,2,8,8,7,5,5,4,8
Kathy Enggasser,,,0,11,9,10,9,5,8
Mary Ann Quartullo,,,,0,11,10,9,6,8
John Dellricci,,,,,0,9,9,7,8
Patrick Parkinson,,,,,,0,9,8,8
James G Donnelly Sr,,,,,,,0,9,8
Total,14,13,14,14,12,12,10,10,8
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,9
,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,Michele Lawrence,Brendan F Boyle,2,9
Kathy Enggasser,0,19,21,17,16,12,10,3,9
James G Donnelly Sr,,0,18,18,17,12,9,4,9
Mary Ann Quartullo,,,0,16,16,11,9,5,9
Patrick Parkinson,,,,0,17,9,8,6,9
John Dellricci,,,,,0,8,8,7,9
Michele Lawrence,,,,,,2,0,8,9
Brendan F Boyle,,,,,,,2,9,9
Total,23,22,21,18,17,17,12,10,9
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,10
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,John Dellricci,Patrick Parkinson,2,10
Brendan F Boyle,2,0,10,9,10,7,6,3,10
Michele Lawrence,,3,5,4,3,5,4,4,10
Kathy Enggasser,,,1,10,8,8,9,5,10
Mary Ann Quartullo,,,,1,8,9,9,6,10
James G Donnelly Sr,,,,,0,8,8,7,10
John Dellricci,,,,,,1,9,8,10
Patrick Parkinson,,,,,,,0,9,10
Total,18,13,16,14,13,13,10,10,10
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,11
,Brendan F Boyle,Michele Lawrence,Patrick Parkinson,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,2,11
Brendan F Boyle,3,0,7,8,8,8,9,3,11
Michele Lawrence,,1,8,6,6,6,5,4,11
Patrick Parkinson,,,0,12,11,11,12,5,11
James G Donnelly Sr,,,,0,10,11,11,6,11
John Dellricci,,,,,0,11,11,7,11
Kathy Enggasser,,,,,,0,13,8,11
Mary Ann Quartullo,,,,,,,0,9,11
Total,15,11,15,14,14,14,14,10,11
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,12
,James G Donnelly Sr,Mary Ann Quartullo,Kathy Enggasser,John Dellricci,Patrick Parkinson,Brendan F Boyle,Michele Lawrence,2,12
James G Donnelly Sr,1,13,14,14,14,12,4,3,12
Mary Ann Quartullo,,1,14,13,13,10,6,4,12
Kathy Enggasser,,,0,14,14,12,4,5,12
John Dellricci,,,,0,14,11,4,6,12
Patrick Parkinson,,,,,2,10,3,7,12
Brendan F Boyle,,,,,,1,0,8,12
Michele Lawrence,,,,,,,4,9,12
Total,18,18,17,16,16,17,12,10,12
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,13
,Brendan F Boyle,Michele Lawrence,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,13
Brendan F Boyle,4,0,9,9,9,9,9,3,13
Michele Lawrence,,0,6,5,4,4,4,4,13
James G Donnelly Sr,,,0,9,10,10,9,5,13
Kathy Enggasser,,,,0,9,11,9,6,13
John Dellricci,,,,,0,10,11,7,13
Mary Ann Quartullo,,,,,,0,9,8,13
Patrick Parkinson,,,,,,,0,9,13
Total,18,11,15,14,13,13,13,10,13
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,14
,Brendan F Boyle,Michele Lawrence,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,14
Brendan F Boyle,6,0,12,12,12,9,12,3,14
Michele Lawrence,,4,8,9,7,10,5,4,14
James G Donnelly Sr,,,1,17,16,16,15,5,14
Kathy Enggasser,,,,0,17,18,16,6,14
John Dellricci,,,,,0,16,16,7,14
Mary Ann Quartullo,,,,,,0,15,8,14
Patrick Parkinson,,,,,,,0,9,14
Total,24,17,22,22,20,20,18,10,14
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,15
,Brendan F Boyle,Michele Lawrence,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,15
Brendan F Boyle,6,0,14,15,13,12,13,3,15
Michele Lawrence,,3,8,5,7,7,5,4,15
John Dellricci,,,0,16,16,15,17,5,15
James G Donnelly Sr,,,,1,18,16,17,6,15
Kathy Enggasser,,,,,0,17,17,7,15
Mary Ann Quartullo,,,,,,1,15,8,15
Patrick Parkinson,,,,,,,0,9,15
Total,25,14,22,21,20,20,18,10,15
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,16
,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Brendan F Boyle,Michele Lawrence,2,16
John Dellricci,1,12,11,6,6,11,2,3,16
James G Donnelly Sr,,0,11,6,6,11,2,4,16
Kathy Enggasser,,,0,4,6,10,3,5,16
Mary Ann Quartullo,,,,0,3,6,0,6,16
Patrick Parkinson,,,,,0,6,0,7,16
Brendan F Boyle,,,,,,1,0,8,16
Michele Lawrence,,,,,,,0,9,16
Total,15,14,14,6,6,14,4,10,16
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,17
,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Brendan F Boyle,Michele Lawrence,2,17
James G Donnelly Sr,0,22,21,21,20,17,11,3,17
John Dellricci,,1,21,21,19,15,13,4,17
Kathy Enggasser,,,1,22,19,14,10,5,17
Mary Ann Quartullo,,,,0,19,13,10,6,17
Patrick Parkinson,,,,,0,13,7,7,17
Brendan F Boyle,,,,,,5,0,8,17
Michele Lawrence,,,,,,,2,9,17
Total,29,29,26,24,20,26,19,10,17
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,Representative In Congress 2nd District - Democrat,,1,18
,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,Brendan F Boyle,Michele Lawrence,2,18
Kathy Enggasser,1,12,13,13,13,11,6,3,18
John Dellricci,,0,11,11,12,8,7,4,18
James G Donnelly Sr,,,2,12,12,7,5,5,18
Mary Ann Quartullo,,,,0,12,10,4,6,18
Patrick Parkinson,,,,,0,8,4,7,18
Brendan F Boyle,,,,,,4,0,8,18
Michele Lawrence,,,,,,,0,9,18
Total,19,16,15,15,13,18,9,10,18
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,19
,Brendan F Boyle,Michele Lawrence,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,Patrick Parkinson,John Dellricci,2,19
Brendan F Boyle,3,0,9,8,8,7,6,3,19
Michele Lawrence,,0,4,3,3,4,3,4,19
Mary Ann Quartullo,,,1,8,9,9,9,5,19
James G Donnelly Sr,,,,2,9,9,8,6,19
Kathy Enggasser,,,,,0,10,9,7,19
Patrick Parkinson,,,,,,0,9,8,19
John Dellricci,,,,,,,0,9,19
Total,16,5,14,13,11,11,9,10,19
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,20
,Brendan F Boyle,Michele Lawrence,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,20
Brendan F Boyle,3,0,8,10,7,7,5,3,20
Michele Lawrence,,1,6,4,4,3,1,4,20
Kathy Enggasser,,,0,9,12,11,8,5,20
James G Donnelly Sr,,,,0,7,7,6,6,20
John Dellricci,,,,,0,9,8,7,20
Mary Ann Quartullo,,,,,,0,8,8,20
