col_1,col_2,col_3,col_4,col_5,order,division
Diana Irey Vaughan,1,0,0,0,3,19
Jeff Bartos,,0,0,0,4,19
Kathy Coder,,,0,0,5,19
Peg Luksik,,,,0,6,19
Total,1,0,0,0,7,19
,Lieutenant Governor - Republican,,,,1,23
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,23
Diana Irey Vaughan,1,0,0,0,3,23
Jeff Bartos,,1,0,0,4,23
Kathy Coder,,,1,0,5,23
Peg Luksik,,,,1,6,23
Total,1,1,1,1,7,23
,Lieutenant Governor - Republican,,,,1,24
,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,24
Diana Irey Vaughan,1,0,0,0,3,24
Kathy Coder,,1,0,0,4,24
Jeff Bartos,,,0,0,5,24
Peg Luksik,,,,0,6,24
Total,1,1,0,0,7,24
,Lieutenant Governor - Republican,,,,1,26
,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,26
Diana Irey Vaughan,1,0,0,0,3,26
Kathy Coder,,1,0,0,4,26
Jeff Bartos,,,0,0,5,26
Peg Luksik,,,,0,6,26
Total,1,1,0,0,7,26
,Lieutenant Governor - Republican,,,,1,27
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,27
Kathy Coder,1,0,0,0,3,27
Diana Irey Vaughan,,0,0,0,4,27
Jeff Bartos,,,0,0,5,27
Peg Luksik,,,,0,6,27
Total,1,0,0,0,7,27
,Lieutenant Governor - Republican,,,,1,28
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,28
Kathy Coder,1,0,0,0,3,28
Diana Irey Vaughan,,0,0,0,4,28
Jeff Bartos,,,0,0,5,28
Peg Luksik,,,,0,6,28
Total,1,0,0,0,7,28
,Lieutenant Governor - Republican,,,,1,29
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,29
Diana Irey Vaughan,1,0,0,0,3,29
Jeff Bartos,,0,0,0,4,29
Kathy Coder,,,0,0,5,29
Peg Luksik,,,,0,6,29
Total,1,0,0,0,7,29
